date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:47	955/955	---M--	200	added ('OK')	image/png	etag:%223bb-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/fill01.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/fill01.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:47	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/arrows02.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/arrows02.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:48	932/932	---M--	200	added ('OK')	image/png	etag:%223a4-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/fill02.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/fill02.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:48	966/966	---M--	200	added ('OK')	image/png	etag:%223c6-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/fill03.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/fill03.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:48	1011/1011	---M--	200	added ('OK')	image/png	etag:%223f3-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-btn01.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-btn01.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:49	1460/1460	---M--	200	added ('OK')	image/png	etag:%225b4-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-select-r.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-select-r.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:49	3091/3091	---M--	200	added ('OK')	image/png	etag:%22c13-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-hint.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-hint.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:49	1167/1167	---M--	200	added ('OK')	image/png	etag:%2248f-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-zoom.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-zoom.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:50	934/934	---M--	200	added ('OK')	image/png	etag:%223a6-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bullet01.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bullet01.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:50	291/291	---M--	200	added ('OK')	image/gif	etag:%22123-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/right-bg.gif	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/right-bg.gif	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
